Main food description (Portions and Weights),Portion description,WWEIA Category description (Portions and Weights),Portion weight (g),Food code
"Potato, french fries, with chili","1 fry, any cut",French fries and other fried white potatoes,8,73111223
"Potato, french fries, with chili and cheese, fast food / restaurant","1 fry, any cut",French fries and other fried white potatoes,10,75202021
"Potato, french fries, with chili and cheese","1 fry, any cut",French fries and other fried white potatoes,10,75202022
"Potato, french fries, with cheese, school","1 fry, any cut",French fries and other fried white potatoes,11,75202023
Potato skins without topping,Skin from 1 small,French fries and other fried white potatoes,25,75208023
"Potato skins, NFS",Skin from 1 small,French fries and other fried white potatoes,25,75209022
"Potato skins, with cheese",Skin from 1 small,French fries and other fried white potatoes,35,75214021
"Potato skins, with cheese and bacon",Skin from 1 small,French fries and other fried white potatoes,35,75214022
"Potato, hash brown, NFS",1 patty,French fries and other fried white potatoes,55,75219021
"Potato, hash brown, from fast food",1 patty,French fries and other fried white potatoes,55,75311022
"Potato, hash brown, from fast food, with cheese",1 patty,French fries and other fried white potatoes,55,75311023
"Potato, hash brown, from restaurant",1 patty,French fries and other fried white potatoes,55,75311120
"Potato, hash brown, from restaurant, with cheese",1 patty,French fries and other fried white potatoes,55,73111221
"Potato, hash brown, from school lunch",1 patty,French fries and other fried white potatoes,55,75208021
"Potato, hash brown, ready-to-heat",1 patty,French fries and other fried white potatoes,55,75209021
"Potato, hash brown, ready-to-heat, with cheese",1 patty,French fries and other fried white potatoes,55,75217020
Potato patty,1 patty,French fries and other fried white potatoes,55,75232120
"Potato, french fries, fast food",1 kids meal order,French fries and other fried white potatoes,70,75307000
"Potato, french fries, restaurant",1 kids meal order,French fries and other fried white potatoes,70,75330060
"Potato, french fries, with cheese, fast food / restaurant",1 kids meal order,French fries and other fried white potatoes,107,75330090
"Potato tots, NFS",1 cup,French fries and other fried white potatoes,130,75340020
"Potato tots, school",1 cup,French fries and other fried white potatoes,130,75220021
"Potato tots, from fresh, fried or baked",1 cup,French fries and other fried white potatoes,130,75231021
"Potato tots, frozen, baked",1 cup,French fries and other fried white potatoes,130,75220022
"Potato tots, frozen, fried",1 cup,French fries and other fried white potatoes,130,75231022
"Potato tots, frozen, NS as to fried or baked",1 cup,French fries and other fried white potatoes,130,75122100
"Potato tots, fast food / restaurant",1 fast food order,French fries and other fried white potatoes,130,75317020
"Potato, hash brown, from fresh",1 cup,French fries and other fried white potatoes,160,75317010
"Potato, hash brown, from fresh, with cheese",1 cup,French fries and other fried white potatoes,160,75219100
"Potato, hash brown, from dry mix",1 cup,French fries and other fried white potatoes,160,75101000
"Potato, home fries, NFS",1 cup,French fries and other fried white potatoes,200,75127750
"Potato, home fries, from restaurant / fast food",1 cup,French fries and other fried white potatoes,200,75128000
"Potato, home fries, from fresh",1 cup,French fries and other fried white potatoes,200,75229011
"Potato, home fries, ready-to-heat",1 cup,French fries and other fried white potatoes,200,73111220
"Potato, home fries, with vegetables",1 cup,French fries and other fried white potatoes,200,75202020
Potato pancake,1 miniature/bite size pancake,Mashed potatoes and white potato mixtures,10,75203028
Lefse,1 item,Mashed potatoes and white potato mixtures,80,75207021
"Fried stuffed potatoes, Puerto Rican style","1 fritter (4"" x 2-1/4"" x 3/4"")",Mashed potatoes and white potato mixtures,95,75208020
"Potato from Puerto Rican style stuffed pot roast, with gravy",1 small,Mashed potatoes and white potato mixtures,103,75208720
"Potato from Puerto Rican beef stew, with gravy",1 small,Mashed potatoes and white potato mixtures,122,75209020
"Stewed potatoes, Puerto Rican style",1 small,Mashed potatoes and white potato mixtures,123,75209501
"Potato from Puerto Rican chicken fricassee, with sauce",1 small,Mashed potatoes and white potato mixtures,123,75214020
"Potato salad, German style",1 cup,Mashed potatoes and white potato mixtures,175,75215020
"Potato, scalloped, NFS",1 cup,Mashed potatoes and white potato mixtures,250,75215120
"Potato, scalloped, from fast food or restaurant",1 cup,Mashed potatoes and white potato mixtures,250,75216720
"Potato, scalloped, from fresh",1 cup,Mashed potatoes and white potato mixtures,250,75217301
"Potato, scalloped, from fresh, with meat",1 cup,Mashed potatoes and white potato mixtures,250,75218011
"Potato, scalloped, from dry mix",1 cup,Mashed potatoes and white potato mixtures,250,75218501
"Potato, scalloped, from dry mix, with meat",1 cup,Mashed potatoes and white potato mixtures,250,75219020
"Potato, scalloped, ready-to-heat",1 cup,Mashed potatoes and white potato mixtures,250,75221160
"Potato, scalloped, ready-to-heat, with meat",1 cup,Mashed potatoes and white potato mixtures,250,75222020
"Potato, mashed, NFS",1 cup,Mashed potatoes and white potato mixtures,250,75228020
"Potato, mashed, from fast food",1 cup,Mashed potatoes and white potato mixtures,250,75234021
"Potato, mashed, from fast food, with gravy",1 cup,Mashed potatoes and white potato mixtures,250,75219023
"Potato, mashed, ready-to-heat",1 cup,Mashed potatoes and white potato mixtures,250,75220020
"Potato, mashed, from fresh, made with milk",1 cup,Mashed potatoes and white potato mixtures,250,75208110
"Potato, mashed, from fresh, made with milk, with cheese",1 cup,Mashed potatoes and white potato mixtures,250,75231020
"Potato, mashed, from fresh, made with milk, with gravy",1 cup,Mashed potatoes and white potato mixtures,250,75111800
"Potato, mashed, from fresh, NFS",1 cup,Mashed potatoes and white potato mixtures,250,75124000
"Potato, mashed, from restaurant",1 cup,Mashed potatoes and white potato mixtures,250,75128010
"Potato, mashed, from restaurant, with gravy",1 cup,Mashed potatoes and white potato mixtures,250,75233027
"Potato, mashed, from school lunch",1 cup,Mashed potatoes and white potato mixtures,250,75233030
"Potato, mashed, from dry mix, NFS",1 cup,Mashed potatoes and white potato mixtures,250,75233031
"Potato, mashed, from dry mix, made with milk",1 cup,Mashed potatoes and white potato mixtures,250,75233028
"Potato, mashed, from dry mix, made with milk, with cheese",1 cup,Mashed potatoes and white potato mixtures,250,75233011
"Potato, mashed, from dry mix, made with milk, with gravy",1 cup,Mashed potatoes and white potato mixtures,250,75233012
"Potato, mashed, ready-to-heat, NFS",1 cup,Mashed potatoes and white potato mixtures,250,75233021
"Potato, mashed, ready-to-heat, with cheese",1 cup,Mashed potatoes and white potato mixtures,250,75233022
"Potato, mashed, ready-to-heat, with gravy",1 cup,Mashed potatoes and white potato mixtures,250,75233023
Stewed potatoes,1 cup,Mashed potatoes and white potato mixtures,250,75233020
Stewed potatoes with tomatoes,1 cup,Mashed potatoes and white potato mixtures,250,71930190
"Potato salad with egg, from restaurant",1 cup,Mashed potatoes and white potato mixtures,275,73410320
"Potato salad with egg, made with mayonnaise",1 cup,Mashed potatoes and white potato mixtures,275,73410340
"Potato salad with egg, made with light mayonnaise",1 cup,Mashed potatoes and white potato mixtures,275,73410400
"Potato salad with egg, made with mayonnaise-type salad dressing",1 cup,Mashed potatoes and white potato mixtures,275,73410500
"Potato salad with egg, made with light mayonnaise-type salad dressing",1 cup,Mashed potatoes and white potato mixtures,275,75440200
"Potato salad with egg, made with creamy dressing",1 cup,Mashed potatoes and white potato mixtures,275,75511300
"Potato salad with egg, made with light creamy dressing",1 cup,Mashed potatoes and white potato mixtures,275,75205200
"Potato salad with egg, made with Italian dressing",1 cup,Mashed potatoes and white potato mixtures,275,75412010
"Potato salad with egg, made with light Italian dressing",1 cup,Mashed potatoes and white potato mixtures,275,75414030
"Potato salad with egg, made with any type of fat free dressing",1 cup,Mashed potatoes and white potato mixtures,275,75414500
"Potato salad, from restaurant",1 cup,Mashed potatoes and white potato mixtures,275,75415022
"Potato salad, made with mayonnaise",1 cup,Mashed potatoes and white potato mixtures,275,72202030
"Potato salad, made with light mayonnaise",1 cup,Mashed potatoes and white potato mixtures,275,75409020
"Potato salad, made with mayonnaise-type salad dressing",1 cup,Mashed potatoes and white potato mixtures,275,74205010
"Potato salad, made with light mayonnaise-type salad dressing",1 cup,Mashed potatoes and white potato mixtures,275,73410200
"Potato salad, made with creamy dressing",1 cup,Mashed potatoes and white potato mixtures,275,73420100
"Potato salad, made with light creamy dressing",1 cup,Mashed potatoes and white potato mixtures,275,73420200
"Potato salad, made with Italian dressing",1 cup,Mashed potatoes and white potato mixtures,275,73420020
"Potato salad, made with light Italian dressing",1 cup,Mashed potatoes and white potato mixtures,275,75440400
"Potato salad, made with any type of fat free dressing",1 cup,Mashed potatoes and white potato mixtures,275,75418010
"Grapefruit juice, 100%, with calcium added",1 fl oz (no ice),Citrus juice,31,75140500
"Orange juice, 100%, NFS",1 fl oz (no ice),Citrus juice,31,75140990
"Orange juice, 100%,  freshly squeezed",1 fl oz (no ice),Citrus juice,31,75141040
"Orange juice, 100%, canned, bottled or in a carton",1 fl oz (no ice),Citrus juice,31,75416500
"Orange juice, 100%, with calcium added, canned, bottled or in a carton",1 fl oz (no ice),Citrus juice,31,75416600
"Orange juice, 100%, frozen, not reconstituted",1 cup,Citrus juice,284,75140510
"Apple juice, 100%",1 fl oz (no ice),Apple juice,31,73101110
"Apple juice, 100%, with calcium added",1 fl oz (no ice),Apple juice,31,75142500
"Fruit juice blend, citrus, 100% juice",1 fl oz (no ice),Other fruit juice,31,75142000
"Fruit juice, NFS",1 fl oz (no ice),Other fruit juice,31,75141000
"Fruit juice blend, 100% juice",1 fl oz (no ice),Other fruit juice,31,75141100
"Cranberry juice blend, 100% juice",1 fl oz (no ice),Other fruit juice,31,75302080
"Cranberry juice blend, 100% juice, with calcium added",1 fl oz (no ice),Other fruit juice,31,73101210
Blueberry juice,1 fl oz (no ice),Other fruit juice,31,74506000
"Grape juice, 100%",1 fl oz (no ice),Other fruit juice,31,75142600
"Grape juice, 100%, with calcium added",1 fl oz (no ice),Other fruit juice,31,75142550
"Pineapple juice, 100%",1 fl oz (no ice),Other fruit juice,31,89902000
"Vegetable and fruit juice, 100% juice, with high vitamin C",1 fl oz (no ice),Other fruit juice,31,89902010
Beet juice,1 fl oz (no ice),Vegetable juice,31,89902030
Celery juice,1 cup,Vegetable juice,236,89902040
Mixed vegetable juice,1 cup,Vegetable juice,246,89902060
"Soft drink, NFS, diet",1 fl oz (no ice),Diet soft drinks,30,89902070
"Soft drink, cola, diet",1 fl oz (no ice),Diet soft drinks,30,89902020
"Soft drink, cola, decaffeinated, diet",1 fl oz (no ice),Diet soft drinks,30,89902050
"Soft drink, pepper type, diet",1 fl oz (no ice),Diet soft drinks,30,71000100
"Soft drink, pepper type, decaffeinated, diet",1 fl oz (no ice),Diet soft drinks,30,71100100
"Soft drink, cream soda, diet",1 fl oz (no ice),Diet soft drinks,30,71508001
"Soft drink, fruit flavored, diet, caffeine free",1 fl oz (no ice),Diet soft drinks,30,71508025
"Soft drink, fruit flavored, caffeine containing, diet",1 fl oz (no ice),Diet soft drinks,30,71103300
"Soft drink, ginger ale, diet",1 fl oz (no ice),Diet soft drinks,30,71103310
"Soft drink, root beer, diet",1 fl oz (no ice),Diet soft drinks,30,71508035
"Soft drink, chocolate flavored, diet",1 fl oz (no ice),Diet soft drinks,30,71508010
"Soft drink, cola, fruit or vanilla flavored, diet",1 fl oz (no ice),Diet soft drinks,30,71508030
"Soft drink, cola, chocolate flavored, diet",1 fl oz (no ice),Diet soft drinks,30,71508020
"Energy drink, low calorie (Monster)",1 fl oz,Diet sport and energy drinks,30,71102990
"Energy drink, sugar free (Monster)",1 fl oz,Diet sport and energy drinks,30,71104200
"Energy drink, sugar free (Mountain Dew AMP)",1 fl oz,Diet sport and energy drinks,30,71104030
"Energy drink, sugar free (No Fear)",1 fl oz,Diet sport and energy drinks,30,71104040
"Energy drink, sugar-free (NOS)",1 fl oz,Diet sport and energy drinks,30,71104060
"Energy drink, sugar-free (Red Bull)",1 fl oz,Diet sport and energy drinks,30,71104070
"Energy drink, sugar free (Rockstar)",1 fl oz,Diet sport and energy drinks,30,71104130
"Energy drink, sugar free (Vault)",1 fl oz,Diet sport and energy drinks,30,71104080
"Energy drink, sugar free",1 fl oz,Diet sport and energy drinks,30,71104140
"Sports drink, low calorie (Gatorade G2)",1 cup,Diet sport and energy drinks,240,71104050
"Sports drink, low calorie (Powerade Zero)",1 cup,Diet sport and energy drinks,240,71104090
"Sports drink, low calorie",1 cup,Diet sport and energy drinks,240,71104150
"Slush frozen drink, no sugar added",1 fl oz,Other diet drinks,30,71104100
"Vegetable and fruit juice drink, with high vitamin C, diet",1 fl oz (no ice),Other diet drinks,30,71104110
"Soft drink, NFS",1 fl oz (no ice),Soft drinks,31,71104120
"Soft drink, cola",1 fl oz (no ice),Soft drinks,31,71103320
"Soft drink, cola, decaffeinated",1 fl oz (no ice),Soft drinks,31,71508005
"Soft drink, pepper type",1 fl oz (no ice),Soft drinks,31,71101000
"Soft drink, pepper type, decaffeinated",1 fl oz (no ice),Soft drinks,31,71507025
"Soft drink, cream soda",1 fl oz (no ice),Soft drinks,31,71507035
"Soft drink, fruit flavored, caffeine free",1 fl oz (no ice),Soft drinks,31,71507010
"Soft drink, fruit flavored, caffeine containing",1 fl oz (no ice),Soft drinks,31,71507030
"Soft drink, ginger ale",1 fl oz (no ice),Soft drinks,31,71507020
"Soft drink, root beer",1 fl oz (no ice),Soft drinks,31,71507005
"Soft drink, chocolate flavored",1 fl oz (no ice),Soft drinks,31,71106010
"Soft drink, cola, fruit or vanilla flavored",1 fl oz (no ice),Soft drinks,31,71102980
